Titulo,Autor,Link,Respuestas,Visitas
Principales Normas sobre el Foro,Cazique,https://www.adslzone.net//foro/videojuegos-y-consolas.58/principales-normas-sobre-foro.152122/,2008-07-31,0,10022
GAMERZONA ABIERTA :D,ruvelro,https://www.adslzone.net//foro/videojuegos-y-consolas.58/gamerzona-abierta-d.271033/,2011-03-15,6,9217
Trailers de Videojuegos,Darkzul,https://www.adslzone.net//foro/videojuegos-y-consolas.58/trailers-videojuegos.193245/,2009-05-10,41,26030
Tutorial - Abrir puertos y NAT abierto.,rod11274,https://www.adslzone.net//foro/videojuegos-y-consolas.58/tutorial-abrir-puertos-nat-abierto.306497/,2012-04-05,24,206887
Lista de Firmwares de flashcarts para NDS,ruvelro,https://www.adslzone.net//foro/videojuegos-y-consolas.58/lista-firmwares-flashcarts-nds.184128/,2009-02-28,12,17532
"[REVIEW] GPD Q9 (Consola con Android 4.4, RK3288, MALI T-764",Arcangel_SP,https://www.adslzone.net//foro/videojuegos-y-consolas.58/review-gpd-q9-consola-android-4-4-rk3288-mali-t-764.393630/,2015-10-06,1,11538
Como conectar la PS3 a internet vía wifi,daf,https://www.adslzone.net//foro/videojuegos-y-consolas.58/como-conectar-ps3-internet-vi-wifi.193838/,2009-05-14,12,154264
Emuladores y listado de roms,Chasky,https://www.adslzone.net//foro/videojuegos-y-consolas.58/emuladores-listado-roms.183654/,2009-02-25,1,10695
RepairPart: Arregla tus consolas,ruvelro,https://www.adslzone.net//foro/videojuegos-y-consolas.58/repairpart-arregla-tus-consolas.220144/,2009-12-07,25,28313
Nintendo switch,nereita,https://www.adslzone.net//foro/videojuegos-y-consolas.58/nintendo-switch.590493/,2022-11-15,2,344
ayuda con mal apagado de PS5,SonGoku,https://www.adslzone.net//foro/videojuegos-y-consolas.58/ayuda-mal-apagado-ps5.591219/,2022-12-13,3,324
Problema PS4 e internet PC,sane1967,https://www.adslzone.net//foro/videojuegos-y-consolas.58/problema-ps4-e-internet-pc.591138/,2022-12-10,4,368
Como configuro el joystick/mando del emulador pc IdeaS Emulator?,OrangeDaytona,https://www.adslzone.net//foro/videojuegos-y-consolas.58/como-configuro-joystick-mando-emulador-pc-ideas-emulator.590163/,2022-11-03,2,265
Porque Steam siempre detecta que uso un VPN cuando intento crear una cuenta,Sgrthiago,https://www.adslzone.net//foro/videojuegos-y-consolas.58/porque-steam-siempre-detecta-uso-vpn-cuando-intento-crear-cuenta.590115/,2022-11-01,4,526
Una pantalla blanca en juegos Smart,korsariol,https://www.adslzone.net//foro/videojuegos-y-consolas.58/pantalla-blanca-juegos-smart.589845/,2022-10-21,0,230
Problema con Moonlight GameStream,Deadmau5,https://www.adslzone.net//foro/videojuegos-y-consolas.58/problema-moonlight-gamestream.589770/,2022-10-19,0,202
ayuda con la resolucion en PS5,SonGoku,https://www.adslzone.net//foro/videojuegos-y-consolas.58/ayuda-resolucion-ps5.589485/,2022-10-09,0,281
"PS4 Pro, no lee los discos",Aaron700xD,https://www.adslzone.net//foro/videojuegos-y-consolas.58/ps4-pro-no-lee-discos.589302/,2022-09-30,3,388
Error CE-113338-9,abujanja,https://www.adslzone.net//foro/videojuegos-y-consolas.58/error-ce-113338-9.589254/,2022-09-29,0,1094
Pcgaming365..... ESTAFA,Francesc 123,https://www.adslzone.net//foro/videojuegos-y-consolas.58/pcgaming365-estafa.589050/,2022-09-22,4,515
Una smart card (Panasonic o o así) es una micro SD?,OrangeDaytona,https://www.adslzone.net//foro/videojuegos-y-consolas.58/smart-card-panasonic-o-o-asi-es-micro-sd.587820/,2022-08-08,8,539
No me deja abrir Dràstic y eso que me he gastado 4€,OrangeDaytona,https://www.adslzone.net//foro/videojuegos-y-consolas.58/no-me-deja-abrir-drastic-eso-me-gastado-4eur.587859/,2022-08-10,0,370
Fortnite,Loby127,https://www.adslzone.net//foro/videojuegos-y-consolas.58/fortnite.586089/,2022-06-15,0,499
Tv box retroarch,WorkClass,https://www.adslzone.net//foro/videojuegos-y-consolas.58/tv-box-retroarch.585987/,2022-06-12,0,542
Pequeño problema con mi PS4 Fat,humbertoduranc,https://www.adslzone.net//foro/videojuegos-y-consolas.58/pequeno-problema-mi-ps4-fat.582672/,2022-03-02,1,942
Realidad virtual ¿HTC vive pro 2 o Valve index?,zdnativazzz,https://www.adslzone.net//foro/videojuegos-y-consolas.58/realidad-virtual-htc-vive-pro-2-o-valve-index.585555/,2022-05-31,0,758
ayuda con mensaje de error en ps5,abujanja,https://www.adslzone.net//foro/videojuegos-y-consolas.58/ayuda-mensaje-error-ps5.583161/,2022-03-15,2,644
Configuracion de stick para jugar Street fighter 30 aniversary en pc,julio47,https://www.adslzone.net//foro/videojuegos-y-consolas.58/configuracion-stick-jugar-street-fighter-30-aniversary-pc.582003/,2022-02-12,0,638
Alguien sabe poner el videojuego Piratas del Caribe En el Fin del Mundo en 1080p,FTP-NET,https://www.adslzone.net//foro/videojuegos-y-consolas.58/alguien-sabe-poner-videojuego-piratas-caribe-fin-mundo-1080p.581868/,2022-02-08,0,630
Minecraft tlauncher ya no funciona,Awibi,https://www.adslzone.net//foro/videojuegos-y-consolas.58/minecraft-tlauncher-ya-no-funciona.581220/,2022-01-21,0,1855
Consulta sobre Ban Hardware de Apex legends,Leanndamiann,https://www.adslzone.net//foro/videojuegos-y-consolas.58/consulta-sobre-ban-hardware-apex-legends.579960/,2021-12-17,3,1128
PS2 y juegos piratas,Aaron700xD,https://www.adslzone.net//foro/videojuegos-y-consolas.58/ps2-juegos-piratas.579309/,2021-11-27,1,917
"DVD, FreeMCBoot y PS2",Aaron700xD,https://www.adslzone.net//foro/videojuegos-y-consolas.58/dvd-freemcboot-ps2.579306/,2021-11-27,0,699
HeadSet Wireless de Xbox problema.,LupoGar,https://www.adslzone.net//foro/videojuegos-y-consolas.58/headset-wireless-xbox-problema.578943/,2021-11-17,5,1519
Se puede usar un joystick de la PS3 en el ordenador?,OrangeDaytona,https://www.adslzone.net//foro/videojuegos-y-consolas.58/se-puede-usar-joystick-ps3-ordenador.578568/,2021-11-05,1,825
El joystick de la PS3 pues cuando hay dos rallitas de batería o mientras se carga con cable usb,OrangeDaytona,https://www.adslzone.net//foro/videojuegos-y-consolas.58/joystick-ps3-pues-cuando-hay-dos-rallitas-bateri-o-mientras-se-carga-cable-usb.578316/,2021-10-29,9,1086
Juegos Nintendo DS Lite,Aaron700xD,https://www.adslzone.net//foro/videojuegos-y-consolas.58/juegos-nintendo-ds-lite.578370/,2021-10-31,0,786
Construir una consola usando el FPGA,Cocido,https://www.adslzone.net//foro/videojuegos-y-consolas.58/construir-consola-usando-fpga.578265/,2021-10-28,0,749
duda con nintendo switch,abujanja,https://www.adslzone.net//foro/videojuegos-y-consolas.58/duda-nintendo-switch.571255/,2021-04-12,2,1063
No se pueden conectar a mi servidor de Minecraft java y bedrock,Limonlimonero,https://www.adslzone.net//foro/videojuegos-y-consolas.58/no-se-pueden-conectar-mi-servidor-minecraft-java-bedrock.577575/,2021-10-10,3,961
Kodi 18.9 leía se puede jugar a videojuegos clásicos como supernintendo en..,OrangeDaytona,https://www.adslzone.net//foro/videojuegos-y-consolas.58/kodi-18-9-lei-se-puede-jugar-videojuegos-clasicos-como-supernintendo.577452/,2021-10-06,1,769
"Attack on titan ps4 importacion japonesa, es caro??",joakin1312,https://www.adslzone.net//foro/videojuegos-y-consolas.58/attack-on-titan-ps4-importacion-japonesa-es-caro.576558/,2021-09-10,0,851
La nintendo DSLite de segunda mano no se agota nunca!,OrangeDaytona,https://www.adslzone.net//foro/videojuegos-y-consolas.58/nintendo-dslite-segunda-mano-no-se-agota-nunca.576519/,2021-09-09,3,760
Dos consultas: Emulador para PC Project64 como funciona y configurarlo correctamente para que funcione los juegos?,OrangeDaytona,https://www.adslzone.net//foro/videojuegos-y-consolas.58/dos-consultas-emulador-pc-project64-como-funciona-configurarlo-correctamente-funcione-juegos.576456/,2021-09-08,2,800
Como puedo jugar juegos de NES en GBA,gamerjordan,https://www.adslzone.net//foro/videojuegos-y-consolas.58/como-puedo-jugar-juegos-nes-gba.576237/,2021-09-02,0,790
Hola quiero saber que tengo que hacer si mi internet no me deja jugar online (puedo navegar en google y tengo conexión a internet),leomariox,https://www.adslzone.net//foro/videojuegos-y-consolas.58/hola-quiero-saber-tengo-hacer-si-mi-internet-no-me-deja-jugar-online-puedo-navegar-google-tengo-conexion-internet.575712/,2021-08-15,4,2034
"Project64 no funciona los juegos con el joystick Genius, antes si. Por que?",OrangeDaytona,https://www.adslzone.net//foro/videojuegos-y-consolas.58/project64-no-funciona-juegos-joystick-genius-antes-si.575088/,2021-07-30,3,974
Jet Kave Adventure,oucast,https://www.adslzone.net//foro/videojuegos-y-consolas.58/jet-kave-adventure.574947/,2021-07-25,2,799
he roto la ps3 por actualizar,mar-tea1,https://www.adslzone.net//foro/videojuegos-y-consolas.58/roto-ps3-actualizar.572658/,2021-05-26,11,2838
Principales Normas sobre el Foro,Cazique,https://www.adslzone.net//foro/videojuegos-y-consolas.58/principales-normas-sobre-foro.152122/,2008-07-31,0,10022
GAMERZONA ABIERTA :D,ruvelro,https://www.adslzone.net//foro/videojuegos-y-consolas.58/gamerzona-abierta-d.271033/,2011-03-15,6,9217
Recomendación de Monitores,Paulina Márquez Martin,https://www.adslzone.net//foro/videojuegos-y-consolas.58/recomendacion-monitores.573057/,2021-06-02,6,897
Consola xbox,VanessaLiha12,https://www.adslzone.net//foro/videojuegos-y-consolas.58/consola-xbox.573021/,2021-06-02,3,783
se me elimino el exe de Dragonball Xenoverse Bundle Edition,Yakazuky,https://www.adslzone.net//foro/videojuegos-y-consolas.58/se-me-elimino-exe-dragonball-xenoverse-bundle-edition.572736/,2021-05-28,0,729
Cuestionario sobre adicción a los videojuegos,divitxiki,https://www.adslzone.net//foro/videojuegos-y-consolas.58/cuestionario-sobre-adiccion-videojuegos.572529/,2021-05-23,0,791
Aportaciones para conseguir PS5,jmartin000,https://www.adslzone.net//foro/videojuegos-y-consolas.58/aportaciones-conseguir-ps5.572055/,2021-05-05,0,1032
Problema con rocket league,blazerr,https://www.adslzone.net//foro/videojuegos-y-consolas.58/problema-rocket-league.571554/,2021-04-20,5,915
Nintendo 64 da pantalla negra,AlanDgamerPROXD,https://www.adslzone.net//foro/videojuegos-y-consolas.58/nintendo-64-da-pantalla-negra.571515/,2021-04-20,0,1180
"Instalar Street Fighter 30 Anniversary desde Steam con mi configuracion, funcionara?",julio47,https://www.adslzone.net//foro/videojuegos-y-consolas.58/instalar-street-fighter-30-anniversary-desde-steam-mi-configuracion-funcionara.569074/,2021-02-17,0,989
Bajones y tirones todos los juegos,Raul_97,https://www.adslzone.net//foro/videojuegos-y-consolas.58/bajones-tirones-todos-juegos.566260/,2020-12-16,0,1111
Juegos MAME y LCD Handhelds,QueenVictoria,https://www.adslzone.net//foro/videojuegos-y-consolas.58/juegos-mame-lcd-handhelds.565855/,2020-12-06,0,1009
Donde puedo conseguir juegos VR gratis,50ny,https://www.adslzone.net//foro/videojuegos-y-consolas.58/donde-puedo-conseguir-juegos-vr-gratis.565780/,2020-12-04,0,962
que consolas pueden piratearse hasta el momento,simorskiner,https://www.adslzone.net//foro/videojuegos-y-consolas.58/consolas-pueden-piratearse-hasta-momento.565513/,2020-11-27,0,938
cambio de fuente de ps3 slim,simorskiner,https://www.adslzone.net//foro/videojuegos-y-consolas.58/cambio-fuente-ps3-slim.565507/,2020-11-27,0,1141
Clonacion a ssd disco duro hdd Xbox One,huzoaaz,https://www.adslzone.net//foro/videojuegos-y-consolas.58/clonacion-ssd-disco-duro-hdd-xbox-one.564997/,2020-11-17,0,829
"Liberar una PS3, riesgo de baneo con cuentas originales.",Mac47,https://www.adslzone.net//foro/videojuegos-y-consolas.58/liberar-ps3-riesgo-baneo-cuentas-originales.564172/,2020-10-28,0,1294
¿videojuegos nocivos?,German Perez Del monte,https://www.adslzone.net//foro/videojuegos-y-consolas.58/videojuegos-nocivos.497131/,2020-05-31,8,1339
amd ryzen 2700x,spinoffi,https://www.adslzone.net//foro/videojuegos-y-consolas.58/amd-ryzen-2700x.548029/,2020-09-08,2,1029
No se me conectan algunos servidores de CS 1.6,Vanilla,https://www.adslzone.net//foro/videojuegos-y-consolas.58/no-se-me-conectan-algunos-servidores-cs-1-6.547165/,2020-09-07,5,1341
Monitor 144hz y pc portatil,jaume1986,https://www.adslzone.net//foro/videojuegos-y-consolas.58/monitor-144hz-pc-portatil.545569/,2020-09-06,3,833
NO ME DA LA SIMETRÍA EN MI PS4 PRO QUE HACER ??,Armando De La Espriella,https://www.adslzone.net//foro/videojuegos-y-consolas.58/no-me-da-simetri-mi-ps4-pro-hacer.534283/,2020-08-23,11,2935
Vendo cuenta de... TESO: Tamriel Unlimited,Ayoamaro,https://www.adslzone.net//foro/videojuegos-y-consolas.58/vendo-cuenta-teso-tamriel-unlimited.532099/,2020-08-16,0,779
Ghost Recon Future Soldier,Klifex,https://www.adslzone.net//foro/videojuegos-y-consolas.58/ghost-recon-future-soldier.509788/,2020-07-18,0,676
Steam: regalar juego Cod MW3,cgmochales,https://www.adslzone.net//foro/videojuegos-y-consolas.58/steam-regalar-juego-cod-mw3.509647/,2020-07-15,0,701
Hitman Absolution,Klifex,https://www.adslzone.net//foro/videojuegos-y-consolas.58/hitman-absolution.509548/,2020-07-13,0,640
Como abro los puertos de fortnite en mi router,Brandon Cyclo,https://www.adslzone.net//foro/videojuegos-y-consolas.58/como-abro-puertos-fortnite-mi-router.506404/,2020-06-23,0,964
Tengo en GDD y necesito ayuda para desarollar un videojuego.,50ny,https://www.adslzone.net//foro/videojuegos-y-consolas.58/tengo-gdd-necesito-ayuda-desarollar-videojuego.500317/,2020-06-19,0,793
Quiero pc gaming por 1800 2000$,nosequeponer,https://www.adslzone.net//foro/videojuegos-y-consolas.58/quiero-pc-gaming-1800-2000.498619/,2020-06-17,0,766
